name,date,rate,type,director,cast,country
隐秘的角落,06/16/2020,8.9,"剧情, 悬疑, 犯罪",辛爽,"秦昊, 王景春, 荣梓杉, 史彭元, 王圣迪, 张颂文, 刘琳, 芦芳生, 李梦, 黄米依, 李俊霆, 穆丽燕, 林鹏, 陈朵怡, 赵晖, 刘妍, 任洛敏, 刘晨霞", 中国大陆
暗黑 第三季 ,06/27/2020,9.3,"科幻, 悬疑","巴伦·博, 欧达尔","路易斯·霍夫曼, 卡罗莉内·艾希霍恩, 玛雅·舍内, 丽莎·维卡里, 耶迪斯·特里贝尔, 斯蒂芬·坎普沃斯, 安德烈亚斯·皮奇曼, 莫里茨·杰恩, 保罗·勒克斯, 奥利弗·马苏奇, 克里斯蒂安·哈切森, 吉娜·斯蒂比茨, 黛博拉·考夫曼, 卡洛塔·凡, 法尔肯海因, 克里斯蒂安·斯泰尔, 芭芭拉·纽塞, 马克·瓦斯科, 妮娜·克龙耶格尔, 桑德拉·伯格曼, 达恩·伦纳德, 利布伦茨, 沃尔夫拉姆·科赫, 卡莉娜·, 维斯, 迪特里希·霍林德布穆尔, 艾拉·李, 安妮·拉特, 波利, 马西米兰·迪尔, 塞巴斯蒂安·鲁道夫, 莱娜·乌泽多夫斯基, 克里斯蒂安·佩措尔德, 马克斯·施梅尔普芬尼希", 德国
誓血五人组 ,06/12/2020,6.1,"剧情, 战争",斯派克·李,"德尔罗伊·林多, 乔纳森·梅杰斯, 克拉克·彼得斯, 诺姆·刘易斯, 小伊塞亚·维特洛克, 梅兰尼·蒂埃里, 保罗·沃尔特, 豪泽, 加斯帕·帕科农, 阮明智, 兰, 阮·拉姆, 桑迪·范佩, 让·雷诺, 查德维克·博斯曼, 吴青芸, 阮英俊, 德文·鲁默, 亚历山大·威特斯", 美国
亲爱的没想到吧,06/02/2020,7.6,"喜剧, 爱情, 短片",曲荣达,"高海宝, 李海银, 郝瀚, 金春花, 许吴彬, 赵一霖", 中国大陆
普罗米修斯 ,09/02/2012,7.5,"科幻, 惊悚, 冒险",雷德利·斯科特,"劳米·拉佩斯, 迈克尔·法斯宾德, 查理兹·塞隆, 伊德里斯·艾尔巴, 盖·皮尔斯, 罗根·马歇尔, 格林, 西恩·哈里斯, 拉菲·斯波, 埃蒙·埃利奥特, 本尼迪克特·王, 凯特·迪基, 帕特里克·威尔森, 露西·哈钦森", 美国 / 英国
真心半解 ,05/01/2020,8.0,"喜剧, 爱情, 同性",伍思薇,"莉娅·刘易斯, 丹尼尔·迪默, 艾丽克西斯·勒梅尔, 沃尔夫冈·诺沃格拉茨, 邹兆龙, 贝琦·安, 贝克, 恩里克·穆西安诺, 麦金太尔·狄克逊, 凯瑟琳·科廷, 亚历克·廷彻, 邦妮·弗兰纳里, 泰勒·克罗泽, 斯潘塞·沃瓦克, 帕特里克·约翰逊, 加比·萨默斯, 亚历山卓·巴格特, 马克·德巴格, 乔纳·福尔肯", 美国
蜂鸟 ,10/06/2018,7.9,剧情,金宝拉,"朴持厚, 金玺碧, 郑仁基, 李胜妍, 朴秀妍, 薛惠茵", 韩国
惊天营救 ,04/24/2020,7.1,"动作, 惊悚, 犯罪",山姆·哈格雷夫,"克里斯·海姆斯沃斯, 大卫·哈伯, 格什菲·法拉哈尼, 兰迪普·弘达, 克里斯·贾伊, 阿历克斯, 潘卡·特里帕蒂, 马克·多纳托, 海斯·威尔弗德, 拉亚·坎普贝尔", 美国
从不,01/24/2020,7.6,剧情,伊丽莎·希特曼,"茜德尼·弗拉尼根, 塔莉娅·莱德, 西奥多·佩尔兰, 瑞安·艾戈尔德, 莎伦·凡, 艾腾, 德鲁·塞尔策", 美国 / 英国
悲惨世界 ,05/15/2019,8.1,"剧情, 犯罪",拉吉·利,"达米安·勃纳尔, 亚历克西斯·曼蒂, 贾布里勒·宗加, 伊萨·佩里卡, 阿尔, 哈桑·利, 史蒂夫·蒂英楚, 阿尔玛梅·卡诺特, 尼扎·本, 菲特玛, 让娜·巴利巴尔, 亚历山大·皮科特, 罗曼·加夫拉斯", 法国
环形物语 ,04/03/2020,8.5,"剧情, 科幻","马克·罗曼尼克, 金素英, 迪尔巴拉·沃尔什, 安德鲁·斯坦顿, 蒂姆·米兰特斯, 查理·麦克道威尔, 缇·威斯特, 朱迪·福斯特","丽贝卡·豪尔, 邓肯·乔伊纳, 丹尼尔·祖尔格哈德利, 乔纳森·普雷斯, 保罗·施耐德, 泰勒·巴恩哈特, 艾比·莱德, 弗特森, 妮科尔·洛, 丹尼尔·姜, 雷雪莲, 简·亚历山大, 丹·巴克达尔, 劳伦·维德曼, 奥托·艾森度, 洪·科塔哈雷纳, 布莱恩·梅拉德, 恩杰伊·安东尼, 多米尼克·瑞恩斯, 罗杰·克罗恩, 斯蒂凡尼·埃斯特斯, 什恩·卡鲁斯, 埃里克·阿塔瓦尔, 埃内斯托·格里菲思, 乔迪·林恩, 托马斯", 美国
从宫本到你 ,09/27/2019,7.3,"剧情, 爱情",真利子哲也,"池松壮亮, 苍井优, 井浦新, 一之濑亘, 柄本时生, 星田英利, 古馆宽治, 佐藤二朗, 泷正则, 松山研一, 新井英树", 日本
狩猎 ,03/13/2020,7.3,"动作, 惊悚",克雷格·卓贝,"贝蒂·吉尔平, 希拉里·斯万克, 艾玛·罗伯茨, 贾斯汀·哈特雷, 伊克·巴里霍尔兹, 格伦·豪尔顿, 埃米·马迪根, 梅肯·布莱尔, 特瑞·韦伯, 斯蒂芬·考特尔, 韦恩·杜瓦尔, 麦肯泽, 里德·伯尼, 汉斯·马雷罗, 胡安·贾斯帕, 汉娜·艾琳, 吉姆·克洛克, 西尔维娅·格雷丝, 克里姆, 迪恩·, 韦斯特, 内德·尤瑟夫, 伊桑·苏普利", 美国 / 日本
饥饿站台 ,09/06/2019,7.8,"科幻, 惊悚","加尔德·加兹特鲁, 乌鲁蒂亚","伊万·马萨格, 佐里昂·伊圭里奥尔, 安东尼亚·圣胡安, 埃米利奥·布阿勒, 亚历山德拉·玛桑凯, 马里奥·帕尔多, 阿尔吉斯·阿洛斯卡斯, 米莉安·马丁", 西班牙
王国 第二季 ,03/13/2020,8.3,"剧情, 动作, 惊悚","金成勋, 朴仁载","朱智勋, 裴斗娜, 柳承龙, 金成圭, 全锡浩, 金相浩, 金惠濬, 许峻豪, 全智贤, 朴秉恩, 金太勋, 安宰弘", 美国 / 韩国
我控诉 ,08/30/2019,7.4,剧情,罗曼·波兰斯基,"让·杜雅尔丹, 路易·加瑞尔, 艾玛纽尔·塞尼耶, 格莱高利·嘉德波瓦, 埃尔韦·皮埃尔, 弗拉迪米尔·约尔丹诺夫, 迪迪埃·桑德尔, 梅尔维尔·珀波, 艾瑞克·拉夫, 马修·阿马立克, 劳伦特·斯托克, 文森特·佩雷斯, 米歇尔·维耶尔莫, 文森特·格拉斯, 德尼·波达利德斯, 达米安·勃纳尔, 劳伦特·纳忒拉, 卢卡·巴巴拉斯基, 穆罕默德·拉赫达尔, 哈米纳, 费利佩·曼吉安, 皮埃尔·福雷, 伯努瓦·阿尔曼, 安德烈·马尔孔, 皮埃尔·奥瑟达, 让, 玛丽·弗兰, 米歇尔·克莱门特, 皮埃尔·莱昂, 卢诺, 罗曼·波兰斯基", 法国 / 意大利
喋血战士 ,07/24/2020,5.6,"动作, 科幻",戴夫·威尔逊,"范·迪塞尔, 艾莎·冈萨雷斯, 萨姆·修汉, 托比·凯贝尔, 妲露拉·莱莉, 拉蒙尼·莫里斯, 盖·皮尔斯, 悉达尔斯·达南杰, 泰勒·迈尔, 亚历克斯·安洛斯, 克莱德·伯宁, 杰里米·博阿多, 塔梅尔·伯贾克, 亚历克斯·埃尔南德斯, 约翰内斯·豪克尔, 约翰内森, 帕特里克·克尔顿", 中国大陆 / 美国
格蕾特和韩塞尔 ,01/31/2020,5.4,"惊悚, 恐怖, 奇幻",奥兹·珀金斯,"索菲娅·莉莉丝, 艾丽丝·克里奇, 杰西卡·德, 古维, 查尔斯·巴巴洛拉, 塞缪尔·利基, 伊安·肯尼, 阿卜杜勒·阿尔沙瑞夫, 曼纽尔·庞波, 贝娅特丽克斯·帕金斯", 加拿大 / 爱尔兰 / 美国 / 南非
绅士们 ,12/03/2019,8.3,"喜剧, 动作, 犯罪",盖·里奇,"马修·麦康纳, 查理·汉纳姆, 休·格兰特, 亨利·戈尔丁, 米歇尔·道克瑞, 杰瑞米·斯特朗, 琳·勒内, 科林·法瑞尔, 汤姆·吴, 奇迪·阿朱福, 埃迪·马森, 杰森·王, 约翰·达格尔什, 乔丹·朗, 莉莉·弗雷泽, 萨缪尔·韦斯特, 杰拉丁·萨莫维尔, 可可·萨姆纳, 弗朗茨·德拉姆, 克里斯托弗·埃万格罗, 詹姆斯·沃伦, 汤姆·里斯哈里斯, 丹尼·格里芬, 马克斯·班内特, 尤金娜·库日敏娜, 布鲁斯·钟, 阿什利·马克圭尔, 乔治·阿斯普雷, 杰克·琼斯, 马文·坎贝尔, 莫里斯·李, 拉塞尔·巴洛格, 伊川东吾, 麦凯尔·戴维, 布列塔尼·阿什沃思, 妮科尔·亨布拉, 杰森·, 莱恩斯, 盖·里奇", 英国 / 美国
列夫·朗道,02/26/2020,6.3,剧情,"叶卡特琳娜·奥特尔, 伊利亚·赫尔扎诺夫斯基","娜塔利娅·别列日纳娅, 吕克·布热", 德国 / 乌克兰 / 英国 / 俄罗斯
隐形人 ,12/04/2020,7.2,"科幻, 惊悚, 恐怖",雷·沃纳尔,"伊丽莎白·莫斯, 奥利弗·杰森, 科恩, 阿尔迪斯·霍吉, 迈克尔·多曼, 斯托姆·瑞德, 本尼迪克·哈迪, 哈丽特·戴尔, 瑞妮·林, 布莱恩·米根, 薇薇安·格里尔, 尼古拉斯·霍普, 克利夫·威廉姆斯, 萨姆·史密斯, 扎拉·迈克尔斯, 纳许·埃哲顿, 安东尼·布兰登, 黄, 阿玛莉·沃德, 迈克尔·诺特", 加拿大 / 澳大利亚 / 美国
刺猬索尼克 ,07/31/2020,6.1,"喜剧, 动作, 动画, 冒险",杰夫·福勒,"詹姆斯·麦斯登, 金·凯瑞, 本·施瓦茨, 提卡·森普特, 娜塔莎·罗斯韦尔, 亚当·佩里, 李·马贾道布, 尼尔·麦克唐纳, 汤姆·巴特勒, 弗兰克·, 特纳, 梅洛德·诺西普, 尼曼, 珊农·陈, 肯特, 布拉德·凯利, 陆颖颐, 加里·切克, 迈克尔·霍根, 珍妮·克鲁蒂尔, 贝利·斯科德里, 杰夫·桑卡, 丽莎·钱德勒, 科琳·欧肖内希, 利安娜·拉普", 加拿大 / 日本 / 美国
想见你 ,11/17/2019,9.2,"爱情, 悬疑, 奇幻",黄天仁,"柯佳嬿, 许光汉, 施柏宇, 颜毓麟, 严艺文, 张翰, 林鹤轩, 郭文颐, 陈匡荣, 林子珊, 张毓晨, 曾之乔, 徐诣帆, 朱芷莹, 简廷芮, 梁洳瑄, 马惠珍, 连晨翔, 邱胜翊, 杨翘硕, 安伟, 黄鸿升, 章广辰", 中国台湾
第92届奥斯卡颁奖典礼 ,02/09/2020,7.7,"歌舞, 真人秀",格伦·维斯,"乔治·麦凯, 塔伊加·维迪提, 蒂莫西·柴勒梅德, 辛西娅·艾莉佛, 汤姆·汉克斯, 基努·里维斯, 莎姬·贝兹, 奥利维娅·科尔曼, 盖尔·加朵, 娜塔莉·波特曼, 布丽·拉尔森, 简·方达, 安东尼奥·班德拉斯, 希亚·拉博夫, 威尔·法瑞尔, 萨尔玛·海耶克, 拉米·马雷克, 伊迪娜·门泽尔, 奥斯卡·伊萨克, 乔什·加德, 佩内洛普·克鲁兹, 克里斯汀·韦格, 马赫沙拉·阿里, 西格妮·韦弗, 马克·鲁弗洛, 茱莉亚·路易斯, 德瑞弗斯, 比妮·费尔德斯坦, 蕾蓓尔·威尔森, 黛安·基顿, 林, 曼努尔·米兰达, 史蒂夫·马丁, 克丽丝·梅斯, 雷吉娜·金, 玛娅·鲁道夫, 加奈儿·梦奈, 敏迪·卡灵, 吴珊卓, 斯派克·李, 詹姆斯·柯登, 凯莉·玛丽, 陈, 雷·罗马诺, 克里斯·洛克, 扎克·高察根, 乌特卡什·安邦德卡尔, 安东尼·拉莫斯, 埃尔顿·约翰, 兰迪·纽曼, 塞尔希奥·巴勃罗斯, 松隆子, 埃米纳姆", 美国
猛禽小队和哈莉·奎茵 ,02/07/2020,5.8,"动作, 犯罪, 冒险",阎羽茜,"玛格特·罗比, 玛丽·伊丽莎白, 温斯特德, 罗茜·佩雷兹, 朱尼·斯莫利特, 伊万·麦克格雷格, 埃拉·杰伊, 巴斯科, 克里斯·梅西纳, 黄阿丽, 戴维·尤里, 萨拉·蒙特斯, 伊莎贝尔·帕克扎德, 丹尼尔·伯哈特, 帕洛马·拉比诺夫, 德里克·威尔逊, 乔·布卡罗三世, 弗朗克西斯·周, 布鲁诺·奥利弗, 马修·维利希, 杰里米·丹茨林格, 迈克尔·马西尼, 杰西·布什, 史蒂文·威廉姆斯, 夏洛林·阿莫亚, 罗伯特·卡特里尼, 埃迪·阿尔法诺, 普拉莫德·库马尔, 巴雷特, 西蒙·瑞, 凯莱布·斯比尔亚兹, 萨拉·贝克, 埃夫卡·科瓦拉西尤斯, 山姆·哈格雷夫, 丹尼斯·基弗, 博亚娜·诺瓦科维奇, 埃里克·迈克尔, 科尔, 提姆·里格比, 大卫·安东尼, 布廖内, 杰拉德·唐尼, 埃迪·, 费尔南德斯, 尼科·格莱瑟姆, 朱迪·凯恩, 杰夫·里帕瑞, 詹妮尔·麦基, 伊戈·米基塔斯, 安东尼·莫利纳利, 迪索·拉莫斯, 凯伦·特利哈", 美国
囧妈,01/25/2020,5.9,喜剧,徐峥,"徐峥, 黄梅莹, 袁泉, 郭京飞, 黄景瑜, 贾冰, 高以翔, 沈腾, 宋小宝, 黄渤, 欧丽娅, 陈奇, 吴云芳, 张建亚, 吴竞, 张芝华, 唐群, 徐玉兰, 徐幸, 陆燕芳, 张翠翠, 脑门额尔德尼, 朱莉娜, 刘泽星, 薛晴, 韩昊霖, 郑颖娴, 弗索夫·谢尔盖, 杨峥, 陶桃, 崔大笨, 潘启言, 王彬, 张勤, 黄梓凌, 杜凡昕之, 李顺怡, 阎虹宇, 刘子瑞, 谢尔比纳·甘纳, 斯莫林·伊凡, 张岩, 邵巨宝, 谢莱珍", 中国大陆
多力特的奇幻冒险 ,07/24/2020,5.9,"喜剧, 奇幻, 冒险",斯蒂芬·加汉,"小罗伯特·唐尼, 汤姆·赫兰德, 拉米·马雷克, 麦克·辛, 杰西·巴克利, 艾玛·汤普森, 拉尔夫·费因斯, 安东尼奥·班德拉斯, 玛丽昂·歌迪亚, 赛琳娜·戈麦斯, 约翰·塞纳, 卡门·艾乔戈, 库梅尔·南贾尼, 奥克塔维亚·斯宾瑟, 拉尔夫·伊内森, 吉姆·布劳德本特, 克雷格·罗宾森, 弗朗西斯·德, 拉·图瓦, 卡夏·斯穆特尼亚克, 奥利弗·库珀史密斯, 尼克·穆罕默德, 托尼娅·科妮斯, 萨克·霍兰, 纳西尔·贾玛, 贝恩·科拉科, 约瑟夫·巴德拉玛, 萨姆森·卡约, 史蒂芬·萨姆森, 塔希尔·布尔汉, 保罗·霍洛瓦蒂", 美国 / 中国大陆 / 英国
唐人街探案,01/01/2020,7.2,"悬疑, 惊悚, 犯罪","柯汶利, 戴墨, 姚文逸, 来牧宽","邱泽, 张钧甯, 王真儿, 陈哲远, 程潇, 张艺上, 张颂文, 张世, 邓恩熙, 陈雨锶, 马伯骞, 李明轩, 崔雨鑫, 高叶, 黄恺杰, 戴墨, 马浴柯, 张国柱, 张睿家, 黄健玮, 施名帅, 高英轩, 丁春诚, 王可元, 叶熙祺, 索朗美淇, 谢闻轩, 汪洋, 张经伟, 田宜峰, 王宝强, 刘昊然, 肖央, 尚语贤", 中国大陆
信条 ,09/04/2020,7.7,"剧情, 动作, 科幻",克里斯托弗·诺兰,"约翰·大卫, 华盛顿, 罗伯特·帕丁森, 伊丽莎白·德比茨基, 肯尼思·布拉纳, 亚伦·泰勒, 约翰逊, 迪宝·卡帕蒂娅, 克蕾曼丝·波西, 希米什·帕特尔, 安德鲁·霍华德, 尤里·科洛科利尼科夫, 迈克尔·凯恩, 马丁·唐文, 卡里娜·韦尔瓦, 乔纳森·坎普, 凯蒂·麦克凯布, 贝恩·科拉科, 安东尼·莫利纳利, 特伦特·布克斯顿, 英格丽·玛格斯, 瑞奇·切劳洛, 劳里·谢泼德, 马克·克雷尼克, 亚历克斯·威克索, 丹兹尔·史密斯, 马塞尔·萨巴特", 美国 / 英国
误杀,12/13/2019,7.6,"剧情, 悬疑, 犯罪",柯汶利,"肖央, 谭卓, 陈冲, 姜皓文, 秦沛, 边天扬, 许文姗, 张熙然, 施名帅, 黄健玮, 陈志朋", 中国大陆
1917,08/07/2020,8.5,"剧情, 战争",萨姆·门德斯,"乔治·麦凯, 迪恩·查尔斯, 查普曼, 科林·费尔斯, 本尼迪克特·康伯巴奇, 马克·斯特朗, 理查德·麦登, 安德鲁·斯科特, 丹尼尔·梅斯, 阿德里安·斯卡伯勒, 约翰·霍林沃思, 克里斯·瓦利, 杰米·帕克, 罗伯特, 马瑟, 贾斯汀·爱德华兹, 理查德·麦凯布, 理查德·德姆西, 安森·布恩, 雅各布·詹姆斯, 贝西克, 特蕾莎·马奥尼, 皮普·卡特, 保罗·廷托, 安迪·阿波罗, 约瑟夫·戴维斯, 比利·波斯特莱斯韦特, 加布里埃尔·阿库乌迪克, 斯派克·莱顿, 亚当·赫吉尔, 纳巴汉·里兹万, 克莱尔·迪比尔克, 乔纳·罗素, 迈克尔·吉普森, 格伦·霍威尔", 美国 / 英国 / 印度 / 西班牙 / 加拿大 / 中国大陆
朱迪 ,08/30/2019,7.5,"剧情, 爱情, 传记",鲁伯特·古尔德,"蕾妮·齐薇格, 贝拉·拉姆齐, 卢夫斯·塞维尔, 杰西·巴克利, 迈克尔·刚本, 勒温·劳埃德, 芬·维特洛克, 安迪·尼曼, 费奈拉·伍尔加, 罗伊斯·皮尔逊, 约翰·达格尔什, 菲尔·邓斯特, 露西·拉塞尔, 嘉玛, 莉亚·德弗罗, 菲利普·斯波, 蒂姆·埃亨, 宾利·卡鲁, 朱利安·费罗, 伊斯雷尔·鲁兹", 英国
理查德·朱维尔的哀歌 ,01/10/2020,8.2,"剧情, 传记, 犯罪",克林特·伊斯特伍德,"保罗·沃尔特, 豪泽, 山姆·洛克威尔, 凯西·贝茨, 奥利维亚·王尔德, 乔恩·哈姆, 妮娜·阿里安达, 伊恩·戈麦斯, 兰德尔·, 海文斯, 韦恩·杜瓦尔, 亚历克斯·柯林斯, 迈克·普涅夫斯基, 米切尔·霍格, 大卫·莫拉蒂, 比利·斯洛特, 迪伦·库斯曼, 肯德里克·克罗斯, 施奎塔·詹姆斯, 吉尔, 米歇尔·梅里恩, 大卫·安, 查尔斯·格林, 大卫·伦格尔, 马洛里·霍夫, 罗伯特·廷斯利, 约翰·盖蒂尔, 本杰明·韦弗, 德克斯特·蒂利什, 布兰登·斯坦利, 瑞安·博兹", 美国
纽约的一个雨天 ,,7.4,"喜剧, 爱情",伍迪·艾伦,"蒂莫西·柴勒梅德, 艾丽·范宁, 赛琳娜·戈麦斯, 裘德·洛, 迭戈·卢纳, 列维·施瑞博尔, 安娜莱吉·阿什福特, 丽贝卡·豪尔, 苏琪·沃特豪斯, 凯莉·罗尔巴赫, 切莉·琼斯, 葛瑞芬·纽曼, 凯瑟琳·利, 斯科特, 娜塔莎·罗曼诺娃, 维尔·罗杰斯, 雅各布·伯格, 克里斯·班克斯, 艾恩斯利·丹恩, 马科·查卡, 达里尔·鲁本, 霍尔, 泰勒·布莱克, 唐·斯蒂芬森", 美国
原钻 ,08/30/2019,7.2,"剧情, 犯罪","本·萨弗迪, 约书亚·萨弗迪","亚当·桑德勒, 茱莉娅·福克斯, 凯文·加内特, 威肯, 伊迪娜·门泽尔, 乔纳森·阿兰巴耶夫, 雅各布·伊吉尔斯基, 诺亚·费舍尔, 帕洛玛·艾尔瑟瑟, 勒凯斯·斯坦菲尔德, 埃里克·博高森, 基思·威廉姆斯, 理查兹, 汤米·科米尼克, 路易·安东尼, 阿里亚斯, 肖恩·林金, 贾德·赫希, 约翰·阿莫斯, 布莱斯·科里根, 罗比·德拉费勒, 安赫·道格, 迈克·弗朗西萨, 庞·克莱门捷夫, 娜塔莎·雷昂, 乔恩·内卡杰, 尼克·波托兰宁, 杰克·莱恩, 蒂尔达·斯文顿", 美国
灯塔 ,05/19/2019,7.2,"惊悚, 恐怖, 奇幻",罗伯特·艾格斯,"罗伯特·帕丁森, 威廉·达福, 瓦莱丽娅·卡拉曼, 洛根·霍克斯", 加拿大 / 美国 / 巴西
乔乔的异想世界 ,07/31/2020,8.4,"剧情, 喜剧, 战争",塔伊加·维迪提,"罗曼·格里芬, 戴维斯, 托马辛·麦肯齐, 斯嘉丽·约翰逊, 塔伊加·维迪提, 山姆·洛克威尔, 蕾蓓尔·威尔森, 阿尔菲·艾伦, 斯戴芬·莫昌特, 阿奇·耶茨, 卢克·布兰登, 菲尔德, 山姆·海加斯, 史丹斯拉夫·卡拉斯, 乔·温特劳布, 布莱恩·卡斯佩, 加布里埃尔·安德鲁斯, 罗伯特·伊斯特, 比利·雷纳, 克里斯蒂安·豪林斯, 吉尔比·格里芬, 戴维斯, 哈迪·格里芬, 戴维斯, 柯蒂斯·马修, 贝萨尼·亚当斯, 朱迪思·乔治, 维多利亚·霍根", 美国 / 捷克 / 新西兰
叶问4,12/20/2019,6.9,"剧情, 动作",叶伟信,"甄子丹, 吴樾, 吴建豪, 斯科特·阿金斯, 李宛妲, 郑则仕, 陈国坤, 敖嘉年, 高战, 叶禾, 熊黛林, 罗莽, 刘敬宇, 史蒂文·达兹", 中国大陆 / 中国香港
猫 ,12/20/2019,4.1,"音乐, 歌舞, 奇幻",汤姆·霍伯,"詹妮弗·哈德森, 泰勒·斯威夫特, 詹姆斯·柯登, 伊德里斯·艾尔巴, 朱迪·丹奇, 伊恩·麦克莱恩, 蕾蓓尔·威尔森, 雷·温斯顿, 劳伦·布尔乔亚, 劳里·戴维森, 梅特·托利, 拉瑞·布尔乔亚, 杰森·德鲁罗, 弗朗西丝卡·海沃德, 罗伯特·菲尔柴尔德, 齐齐·斯特伦", 美国
星球大战9,12/18/2019,6.3,"动作, 科幻, 冒险",艾布拉姆斯,"黛西·雷德利, 亚当·德赖弗, 奥斯卡·伊萨克, 约翰·博耶加, 马克·哈米尔, 凯丽·费雪, 比利·迪, 威廉姆斯, 伊恩·麦克迪阿梅德, 凯丽·拉塞尔, 哈里森·福特, 朱迪·科默, 比利·豪尔, 马特·史密斯, 露皮塔·尼永奥, 多姆纳尔·格里森, 凯莉·玛丽, 陈, 乔纳斯·索塔莫, 比莉·洛德, 安东尼·丹尼尔斯, 娜奥米·阿基, 理查德·, 格兰特, 多米尼克·莫纳汉, 格雷戈·格伦伯格, 艾德·希兰, 林, 曼努尔·米兰达", 美国
神奇女侠1984 ,12/18/2020,6.2,"动作, 奇幻, 冒险",派蒂·杰金斯,"盖尔·加朵, 克里斯·派恩, 克里斯汀·韦格, 佩德罗·帕斯卡, 康妮·尼尔森, 罗宾·怀特, 莉莉·阿斯佩尔, 加布瑞拉·王尔德, 杜晨·科洛斯, 琳达·卡特, 克里斯托弗·普拉哈, 里昂·贝克维思, 拉维·帕特尔, 娜塔莎·罗斯韦尔, 泰莎·波纳姆, 琼斯, 艾拉·沃克, 游朝敏, 谢恩·阿特沃尔, 艾德·伯奇, 帕特里克·利斯特, 奥克莉·布尔, 科莎·恩格勒, 小田部阿基, 康斯坦丁·格雷戈里, 文森·德, 保罗, 朱利安·费罗, 罗莎娜·沃尔斯, 丹尼·摩根, 克里斯·西尔科克, 伯纳多·桑托斯, 菲利普·菲尔玛, 尼克·欧文福特, 乔尔·莫里斯, 贾格·帕特尔, 温迪·阿尔比斯顿, 马诺伊·阿南德, 约翰·盖蒂尔, 佩内洛普·卡普迪雅, 莎拉·卢娜", 美国 / 英国 / 西班牙
黑寡妇 ,07/09/2021,None,"动作, 科幻, 冒险",凯特·绍特兰,"斯嘉丽·约翰逊, 弗洛伦丝·皮尤, 蕾切尔·薇兹, 大卫·哈伯, 威廉·赫特, 雷·温斯顿, 奥利维尔·里希特斯, 法格本, 艾尔·安德森, 米歇尔·李, 拉娜·布隆代尔, 维奥莱特·麦格劳, 赖恩·基拉, 阿姆斯特朗, 约恩·巴特勒, 乔治亚·柯蒂斯, 泰·赫尔利, 安得烈·拜伦, 乔基姆·斯卡利, 史蒂芬·萨姆森, 亚当·普里克特, 马里安·洛伦西克", 美国
婚姻故事 ,05/20/2020,8.6,"剧情, 爱情",诺亚·鲍姆巴赫,"斯嘉丽·约翰逊, 亚当·德赖弗, 劳拉·邓恩, 艾奇·罗伯逊, 梅里特·韦弗, 阿伦·阿尔达, 朱丽·哈基提, 雷·利奥塔, 马克·奥布莱恩, 华莱士·肖恩, 凯尔·柏海莫, 米奇·萨姆纳, 马修·马希尔, 罗伯特·斯密戈尔, 艾登·梅耶里, 布鲁克·布鲁姆, 玛莎·凯莉, 阿尔伯特·琼斯, 汉娜·邓恩, 桑德拉·罗斯科, 麦金利·贝尔彻, 戈登·格里克, 马修·希尔, 阿米尔·塔莱, 萨拉·琼斯, 文尼·希伯, 胡安·阿方索, 洛蕾塔·谢诺斯基, 滕德·艾德比佩, 雅斯曼·塞斯, 琼斯", 英国 / 美国
勇敢者游戏2,12/06/2019,6.0,"喜剧, 动作, 奇幻, 冒险",杰克·卡斯丹,"道恩·强森, 凯伦·吉兰, 杰克·布莱克, 凯文·哈特, 尼克·乔纳斯, 奥卡菲娜, 亚历克斯·沃尔夫, 丹尼·德维托, 摩根·特纳, 罗伊·麦克凯恩, 玛琳·辛科, 麦迪森·伊瑟曼, 科林·汉克斯, 丹妮亚·拉米雷兹, 瑞斯·达比, 丹尼·格洛弗, 瑟达吕斯·布兰, 尼克·戈麦斯, 布鲁诺·罗斯, 莎拉·贝纳尼, 查尔斯·格林, 迈克尔·比斯利, 保罗·皮尔斯伯里, 萨尔·隆戈巴尔多, 约翰·盖蒂尔", 美国
