name,date,rate,type,director,cast,country
爱尔兰人 ,09/27/2019,8.8,"剧情, 传记, 犯罪",马丁·斯科塞斯,"罗伯特·德尼罗, 阿尔·帕西诺, 乔·佩西, 安娜·帕奎因, 杰西·普莱蒙, 哈威·凯特尔, 斯蒂芬·格拉汉姆, 鲍比·坎纳瓦尔, 杰克·休斯顿, 阿莱卡萨·帕拉迪诺, 凯瑟琳·纳杜奇, 多米尼克·隆巴多兹, 雷·罗马诺, 塞巴斯蒂安·马尼斯科, 杰克·霍夫曼, 保罗·本, 维克托, 斯蒂芬妮·库尔特祖巴, 莎伦·菲弗, 路易斯·坎瑟米, 茵迪亚·恩能加, 麦肯泽, 巴里·普赖默斯, 吉姆·诺顿, 盖里·巴萨拉巴, 玛格丽特·安妮, 佛罗伦斯, 约翰·斯库蒂, 约翰·塞纳迭姆博, 大卫·阿隆, 贝克, 桃乐丝·麦卡锡, 凯文·凯恩, 加里·帕斯托雷, 约瑟夫·罗素, 凯文·奥罗克, 娜塔莎·罗曼诺娃, 杰里米·卢克, 凯莉·, 威廉姆斯, 詹妮弗·马奇, 保罗·鲍格才, 蒂姆·内夫, 斯蒂芬·梅尔勒, 克雷格·文森特, 比利·史密斯, 布莱斯·科里根, 斯泰西·爱丽丝, 科恩, 吉诺·卡法雷利, 拉里·罗曼诺, 罗伯特·富纳罗, 维罗妮卡·阿利奇诺, 克劳黛特·拉利, 詹姆斯·洛林兹, 阿什莉·诺斯, 肯·斯拉迪克, 帕特里克·加洛", 美国
热带雨,09/08/2019,7.6,剧情,陈哲艺,"杨雁雁, 许家乐, 李铭顺, 杨世彬", 新加坡 / 中国台湾
两只老虎,11/29/2019,6.0,"剧情, 喜剧",李非,"葛优, 赵薇, 乔杉, 范伟, 闫妮, 潘斌龙, 王森, 田雨", 中国大陆
利刃出鞘 ,11/29/2019,8.2,"剧情, 喜剧, 悬疑, 犯罪",莱恩·约翰逊,"丹尼尔·克雷格, 安娜·德, 阿玛斯, 克里斯·埃文斯, 杰米·李, 柯蒂斯, 迈克尔·珊农, 唐·约翰逊, 托妮·科莱特, 勒凯斯·斯坦菲尔德, 克里斯托弗·普卢默, 凯瑟琳·兰福德, 杰登·马泰尔, 瑞琪·琳德赫姆, 艾迪·帕特森, 弗兰克·奥兹, 卡兰, 诺阿·西甘, 埃梅特·沃尔什, 玛琳娜·福特, 劳尔·卡斯提洛, 雪莉·罗德里格斯, 约瑟夫·高登, 莱维特, 加布里埃尔·洛莱斯", 美国
地久天长,03/22/2019,8.1,"剧情, 家庭",王小帅,"王景春, 咏梅, 齐溪, 王源, 杜江, 艾丽娅, 徐程, 李菁菁, 赵燕国彰", 中国大陆
冰雪奇缘2 ,11/22/2019,7.1,"喜剧, 动画, 歌舞, 冒险","克里斯·巴克, 珍妮弗·李","克里斯汀·贝尔, 伊迪娜·门泽尔, 乔什·加德, 乔纳森·格罗夫, 杰森·雷特, 埃文·蕾切尔, 伍德, 斯特林·, 布朗, 玛莎·普林顿, 圣蒂诺·方塔纳, 阿尔弗雷德·莫里纳, 瑞秋·马休斯", 美国
曼达洛人 第一季 ,11/12/2019,9.2,"科幻, 奇幻","黛博拉·周, 瑞克·法穆易瓦, 戴夫·菲洛尼, 布莱丝·达拉斯, 霍华德, 塔伊加·维迪提","佩德罗·帕斯卡, 泰特·弗莱彻, 吉娜·卡拉诺, 布伦丹·维恩, 沃纳·赫尔佐格, 卡尔·韦瑟斯, 奥米德·阿布塔西, 尼克·诺特, 艾米莉·斯沃洛, 塔伊加·维迪提, 约翰·比斯利, 霍拉提奥·桑斯, 瑞恩·沃森, 布莱恩·波塞恩, 阿西夫·阿里, 萨拉·贝克, 尤金·科德罗, 吉安卡罗·埃斯波西托, 利欧·哈克福德, 茱莉亚·琼斯, 多米尼克·培斯, 乔恩·费儒, 裘德·沃尔克, 马克·哈米尔", 美国
别告诉她 ,11/22/2019,7.3,"剧情, 家庭",王子逸,"奥卡菲娜, 马泰, 林晓杰, 赵淑珍, 卢红, 姜永波, 陈涵, 水原碧衣, 章静, 杨学建", 美国 / 中国大陆
极速车王 ,08/07/2020,8.6,"剧情, 传记, 运动",詹姆斯·曼高德,"马特·达蒙, 克里斯蒂安·贝尔, 乔什·卢卡斯, 乔·博恩瑟, 崔西·莱茨, 诺亚·尤佩, 玛丽萨·佩特罗, 凯特瑞娜·巴尔夫, 雷·迈克金农, 约翰·约瑟夫, 菲尔德, 华莱士·朗翰, 乔纳森·拉帕格里拉, 斯特凡, 鲁道夫·马丁, 拉奇兰·布坎南, 瓦德·霍尔顿, 肖恩·卡里甘, 克里斯托弗·达尔加, 亚当·梅菲尔德, 乔瓦尼·索罗菲瓦, 乔·威廉森, 本杰明·里格比, 杰克·麦克马伦, 保罗·福克斯, 雷莫·吉罗内, 德鲁·劳施, 朱利安·米勒, 艾拉姆·奥里安, 埃姆利·贝赫什蒂, 蒂芙妮·伊冯娜, 考克斯, 达林·库珀, 科拉多·因韦尔尼齐, 特洛伊·迪林格, 彼得·阿佩塞拉, 斯凯勒·马歇尔", 美国
受益人,11/08/2019,6.6,"剧情, 喜剧, 爱情",申奥,"大鹏, 柳岩, 张子贤, 张邵勃, 刘刚, 龙洁, 李欧, 陈卫, 潘高琼, 彭波, 陈小平, 陈小林, 李颖, 李小辉, 高冠铭, 苏娜, 胡渝, 王议伟, 许玲, 温佳仁, 龙祺, 杨常金, 董磊, 唐茜, 邓飞, 陈正华, 叶舟洋, 徐玉琨, 丁文博, 叶祥德, 罗乙稀, 李宜儒, 张家渝, 曹宇宙, 李迅, 尹大珍, 马昕墨, 张傲然, 刁羽, 李辉, 陶乙铭, 钱飞宁, 季子裕, 潘文佳, 李季, 李天然, 米罗, 孔江淮", 中国大陆
睡梦医生 ,10/30/2019,6.9,"剧情, 惊悚, 恐怖, 奇幻",迈克·弗拉纳根,"伊万·麦克格雷格, 丽贝卡·弗格森, 凯丽·卡伦, 雅各布·特伦布莱, 卡雷尔·斯特鲁基, 丹尼·劳埃德, 艾米丽·阿琳, 林德, 克利夫·柯蒂斯, 扎恩·迈克拉农, 切尔西·塔尔玛琪, 艾丽克斯·埃索, 布鲁斯·格林伍德, 乔赛琳·唐娜休, 卡尔·卢波利, 维奥莱特·麦格劳, 凯瑟琳·帕克, 罗伯特·朗斯特里特, 赛琳娜·安杜兹, 尼古拉斯·普罗约尔, 贝瑟妮·安妮, 林德, 查尔斯·格林, 扎克瑞·莫莫, 杰森·戴维斯, 胡安·贾斯帕, 路易斯·桑切斯", 美国 / 英国
决战中途岛 ,11/08/2019,7.7,"剧情, 历史, 战争",罗兰·艾默里奇,"艾德·斯克林, 帕特里克·威尔森, 伍迪·哈里森, 卢克·伊万斯, 丹尼斯·奎德, 曼迪·摩尔, 亚历山大·路德韦格, 艾伦·艾克哈特, 达伦·克里斯, 尼克·乔纳斯, 卢克·克莱恩坦克, 杰克·韦伯, 基恩·约翰逊, 浅野忠信, 大卫·休莱特, 马克·罗斯顿, 布雷南·布朗, 詹姆斯·卡佩内罗, 马修·麦考尔, 格雷格·霍瓦尼西安, 杰克·曼利, 杰弗里·布莱克, 瑞秋·佩雷尔, 佛斯基特, 卡梅伦·布罗德, 杰克博·布莱尔, 克里斯蒂·布鲁克, 国村隼, 泰勒·艾略特, 伯克, 丰川悦司, 艾梅伯·瓦尔斯, 莫妮卡·比卡罗娃, 托尼·克里斯托弗, 加雷特·佐藤, 罗伯特·克鲁克斯, 埃里克·戴维斯, 托马斯, 瓦利埃, 约翰·洛巴托, 迪索·拉莫斯, 肯尼·梁", 中国大陆 / 中国香港 / 加拿大 / 美国
闪灵 ,05/23/1980,8.3,"剧情, 悬疑, 恐怖",斯坦利·库布里克,"杰克·尼科尔森, 谢莉·杜瓦尔, 丹尼·劳埃德, 斯加特曼·克罗索斯, 巴瑞·尼尔森, 菲利普·斯通, 乔·托克尔, 安妮·杰克逊, 托尼·伯顿", 英国 / 美国
少年的你,10/25/2019,8.3,"剧情, 爱情, 犯罪",曾国祥,"周冬雨, 易烊千玺, 尹昉, 周也, 吴越, 黄觉, 张艺凡, 张耀, 张歆怡, 赵润南, 郜玄铭", 中国大陆 / 中国香港
终结者,11/01/2019,6.9,"动作, 科幻, 冒险",蒂姆·米勒,"麦肯兹·戴维斯, 娜塔利娅·雷耶斯, 琳达·汉密尔顿, 阿诺·施瓦辛格, 加布里埃尔·鲁纳, 迪耶戈·博内塔, 恩里克·阿尔切, 特里斯坦·乌罗阿, 艾丽西娅·博拉切罗, 布雷特·阿扎尔, 史蒂芬·克里, 罗谢尔·尼尔, 弗雷泽·杰姆斯, 克劳迪娅·特鲁希略, 比约恩·弗赖贝格, 约翰·盖蒂尔, 彼得·奥蒙德, 洛娜·布朗, 彼得·舒勒", 美国 / 西班牙 / 匈牙利
守望者 ,03/06/2009,8.5,"动作, 科幻, 悬疑",扎克·施奈德,"帕特里克·威尔森, 卡拉·古奇诺, 比利·克鲁德普, 玛琳·阿克曼, 杰弗里·迪恩, 摩根, 马修·古迪, 杰基·厄尔, 哈利, 马特·弗里沃, 史蒂芬·麦克哈蒂, 劳拉·门内尔, 詹姆斯·, 康纳", 美国
沉睡魔咒2 ,10/18/2019,6.1,"奇幻, 冒险",乔阿吉姆·罗恩尼,"安吉丽娜·朱莉, 艾丽·范宁, 米歇尔·菲佛, 萨姆·赖利, 哈里斯·迪金森, 艾德·斯克林, 切瓦特·埃加福, 朱诺·坦普尔, 艾美达·斯丹顿, 加绘·亚历山大, 莱丝利·曼维尔, 弗莱迪·怀斯, 詹·穆瑞, 石原贵雅, 大卫·吉亚西, 罗伯特·林赛, 朱迪斯·沙克妮, 伯纳多·桑托斯, 萨克·霍兰, 巴里·艾尔德, 耶斯·利奥丹, 拉塞尔·巴洛格, 拉亚·坎普贝尔, 斯嘉丽·格兰特, 汤姆·伯宁顿, 阿克塞尔·努, 特蕾莎·马奥尼, 约翰·卡鲁", 美国 / 英国
断裂 ,10/11/2019,6.8,惊悚,布拉德·安德森,"萨姆·沃辛顿, 莉莉·拉贝, 斯蒂芬·托布罗斯基, 阿卓艾·安多, 德里克·詹姆斯, 特拉普, 威尔·沃伊托维希, 埃里克·阿塔瓦尔, 克里斯·西格森, 埃内斯托·格里菲思, 查德·布鲁斯, 吉姆·科比, 洛丽·帕帕佐普洛斯", 美国
双子杀手 ,10/18/2019,6.9,"剧情, 动作, 科幻",李安,"威尔·史密斯, 玛丽·伊丽莎白, 温斯特德, 克莱夫·欧文, 本尼迪克特·王, 道格拉斯·霍奇斯, 拉尔夫·布朗, 琳达·伊蒙, 伊利亚·沃里克, 博尼拉, 维克多·雨果, 大卫·莫拉蒂, 西奥多拉·伍利, 亚历山德拉·苏奇, 费尔南达·多罗吉, 提姆·康纳利, 比约恩·弗赖贝格, 施奎塔·詹姆斯, 肯尼·谢尔德", 美国 / 中国大陆
我和我的祖国,09/30/2019,7.7,剧情,"陈凯歌, 张一白, 管虎, 薛晓路, 徐峥, 宁浩, 文牧野","黄渤, 张译, 韩昊霖, 杜江, 葛优, 刘昊然, 宋佳, 王千源, 任素汐, 吴京, 朱一龙, 王东, 陈飞宇, 佟丽娅, 欧豪, 张嘉益, 惠英红, 龚蓓苾, 田壮壮, 韩东君, 辛柏青, 周冬雨, 任达华, 江珊, 王砚辉, 耿乐, 姜武, 梁静, 佟大为, 魏晨, 胡军, 王天辰, 彭昱畅, 罗海琼, 郭丞, 周依然, 樊雨洁, 刘涛, 马伊琍, 张建亚, 徐峥, 王洛勇, 高亚麟, 王道铁, 程禹森, 马书良, 景海鹏, 陈冬, 雷佳音, 张子枫, 陶虹, 郭京飞, 袁文康, 贾晨飞, 邵汶, 张芝华, 段博文, 郎平", 中国大陆
续命之徒,10/11/2019,8.0,"剧情, 惊悚, 犯罪",文斯·吉里根,"亚伦·保尔, 乔纳森·班克斯, 马特·琼斯, 查尔斯·贝克, 托德·特里, 朱莉·珀尔, 格雷戈里·史蒂文, 索里兹, 拉里·哈金, 杰西·普莱蒙, 汤姆·鲍尔, 格洛里亚·桑多瓦尔, 泰丝·哈珀, 迈克尔·博夫舍维尔, 丹妮尔·托德斯科, 斯科特·麦克阿瑟, 斯科特·, 谢泼德, 玛拉·吉布斯, 罗伯特·福斯特, 布兰登·萨克斯顿, 戴维·马特, 凯文·兰金, 布莱恩·科兰斯顿, 约翰尼·奥蒂斯, 克里斯滕·里特", 美国
月影杀痕 ,09/21/2019,6.1,"科幻, 悬疑, 惊悚, 犯罪",吉姆·米可,"波伊德·霍布鲁克, 克利欧佩特拉·科尔曼, 博基姆·伍德拜因, 迈克尔·, 豪尔, 鲁迪·达马林加姆, 莎拉·杜格代尔, 瑞秋·凯勒, 托尼·纳波, 托尼·克雷格, 加布里埃尔·格雷厄姆, 默里·弗罗, 大卫·麦金尼斯, 德尔菲娜·鲁塞尔, 胡安·卡洛斯, 韦利斯, 泰德·麦克马洪, 爱德华·伦德尔, 妮卡·埃利奥特", 美国
蝙蝠侠,07/14/2008,9.2,"剧情, 动作, 科幻, 惊悚, 犯罪",克里斯托弗·诺兰,"克里斯蒂安·贝尔, 希斯·莱杰, 艾伦·艾克哈特, 迈克尔·凯恩, 玛吉·吉伦哈尔, 加里·奥德曼, 摩根·弗里曼, 莫尼克·加布里埃拉, 库尔内, 罗恩·迪恩, 基里安·墨菲, 黄经汉, 内斯特·卡博内尔, 埃里克·罗伯茨, 里特奇·科斯特, 安东尼·迈克尔, 豪尔, 基斯·斯扎拉巴基克, 柯林·麦克法兰, 约书亚·哈尔托, 美琳达·麦格劳, 内森·甘宝, 迈克尔·维约, 迈克尔·斯托扬诺夫, 威廉·斯米利, 丹尼·高德林, 迈克尔·加, 怀特, 马修·奥尼尔, 威廉·菲克纳, 欧鲁米基·欧拉乌米, 格雷格·比姆, 爱利克·赫尔曼, 毕崔斯·罗森, 文森佐·尼克力, 陈冠希", 美国 / 英国
第一滴血5,09/18/2019,7.5,"动作, 惊悚, 冒险",阿德里安·格鲁伯格,"西尔维斯特·史泰龙, 帕斯·贝加, 塞尔吉奥·佩里斯, 门切塔, 艾德里安娜·巴拉扎, 维特·蒙雷尔, 吉妮·金, 华金·科西奥, 帕斯卡西奥·洛佩斯, 奥斯卡·贾恩那达, 亚历山大·迪米特罗夫, 亚伦·科恩, 尼克·威特曼, 杰西卡·马德森, 路易·曼迪勒, 欧文·戴维斯, 阿塔纳斯·斯雷布雷夫, 乔治·曼切夫", 美国 / 西班牙 / 保加利亚
星际探索 ,12/05/2019,6.8,"科幻, 冒险",詹姆斯·格雷,"布拉德·皮特, 汤米·李, 琼斯, 丽芙·泰勒, 鲁丝·内伽, 唐纳德·萨瑟兰, 劳恩·迪恩, 唐尼·科沙瓦茨, 肖恩·布莱克默, 鲍比·内什, 丽莎盖伊·汉密尔顿, 约翰·芬, 约翰·奥提兹, 弗雷达·福斯, 沈, 凯拉·亚当斯, 拉维·卡普尔, 金伯莉·伊丽丝, 埃莉莎·佩里, 丹尼尔·萨乌利, 吉米·希尔兹, 库纳尔·杜德赫克, 格雷格·布瑞克, 艾莉森·瑞德, 萨沙·康佩尔, 娜塔莎·雷昂, 洛雷尔·伯德, 多夫曼, 哈尔茨卡·库扎, 希拉·, 洛克哈特, 马洛里·露, 安妮·麦克代尼尔斯, 珍·莫里洛, 罗切尔·罗斯, 瓦莱丽·罗斯", 美国 / 巴西 / 中国大陆
诛仙1 ,09/13/2019,4.5,"爱情, 奇幻, 古装",程小东,"肖战, 李沁, 孟美岐, 唐艺昕, 刘端端, 李燊, 代旭, 邱心志, 姜大卫, 陈孝萱, 徐少强, 叶童, 梁家仁, 包小松, 陈立唯, 熊欣欣, 李熙, 谢辰, 何政庭, 张智坤, 孟子荻, 马佳玛尧, 张本煜, 李昕岳, 翟玉博", 中国大陆
天气之子 ,11/01/2019,7.1,"爱情, 动画, 奇幻",新海诚,"醍醐虎汰朗, 森七菜, 小栗旬, 本田翼, 倍赏千惠子, 吉柳咲良, 平泉成, 梶裕贵, 木村良平, 柴田秀胜, 野泽雅子, 花泽香菜, 佐仓绫音", 日本
安娜 ,06/21/2019,7.8,"动作, 惊悚",吕克·贝松,"萨莎·露丝, 海伦·米伦, 卢克·伊万斯, 基里安·墨菲, 莱拉·阿波瓦, 亚历山大·佩特罗夫, 尼基塔·帕夫连科, 安娜·克里帕, 阿列克谢·马斯洛杜多夫, 艾力克·高敦, 伊凡·弗拉内克, 让·巴蒂斯特, 普奇, 阿德里安·坎恩, 艾莉森·惠勒, 安德鲁·霍华德, 詹·奥利弗, 施罗德, 谢尔盖·巴切乌尔斯基, 耶斯·利奥丹, 詹姆斯·乔因特, 雷吉尔·库迪乌, 扎克·安德里亚纳索洛, 保利妮·霍劳, 尼可洛·森尼, 伊戈尔·萨沃金, 特拉维斯·克舍琴, 埃文特·斯特朗, 克里斯多夫·泰克, 鲁伯特·韦恩, 詹姆斯, 大卫·科伯恩", 法国 / 美国 / 加拿大 / 俄罗斯
罗小黑战记,09/07/2019,8.2,"动作, 动画, 奇幻",木头,"山新, 郝祥海, 刘明月", 中国大陆
我们与恶的距离 ,03/24/2019,9.4,剧情,林君阳,"贾静雯, 温升豪, 吴慷仁, 周采诗, 陈妤, 洪胜德, 曾沛慈, 林哲熹, 施名帅, 林予晞, 检场, 谢琼煖, 刘越逖, 谢丽金, 巴戈, 萧瑶, 于卉乔, 王可元, 刘修甫, 葛蕾, 严艺文, 林雨宣", 中国台湾
小丑回魂2 ,09/06/2019,6.4,"剧情, 恐怖, 奇幻",安德斯·穆斯切蒂,"詹姆斯·麦卡沃伊, 杰西卡·查斯坦, 比尔·斯卡斯加德, 比尔·哈德尔, 索菲娅·莉莉丝, 杰克·迪伦, 格雷泽, 菲恩·伍法德, 杰登·马泰尔, 特洛伊·詹姆斯, 哈维尔·博泰特, 杰·瑞恩, 斯蒂芬·金, 杰克逊·罗伯特, 斯科特, 杰里米·雷, 泰勒, 泽维尔·多兰, 杰克·威利, 尼古拉斯·汉密尔顿, 杰丝·威克斯勒, 詹姆斯·兰索恩, 瓦耶特·奥莱夫, 欧文·泰格, 艾赛亚·穆斯塔法, 安迪·比恩, 蒂奇·格兰特, 泰勒·弗雷, 贾森·福克斯, 乔森·雅各布, 斯蒂夫·博加尔特, 洛根·汤普森, 杰克·辛, 维尔·贝布林克, 安东尼·尤埃西", 加拿大 / 美国
美国工厂 ,01/25/2019,8.3,纪录片,"史蒂文·博格纳尔, 朱莉娅·赖克特","曹德旺, 王河", 美国
小丑 ,08/31/2019,8.7,"剧情, 惊悚, 犯罪",托德·菲利普斯,"华金·菲尼克斯, 罗伯特·德尼罗, 马克·马龙, 莎姬·贝兹, 谢伊·惠格姆, 弗兰西丝·康罗伊, 布莱恩·考伦, 布莱恩·泰里, 亨利, 布莱特·卡伦, 道格拉斯·霍奇斯, 格伦·弗莱施勒, 比尔·坎普, 乔什·帕斯, 但丁·佩雷拉, 奥尔森, 玛丽·凯特, 马拉特, 迈克尔·本茨, 莎珑·华盛顿, 桑德拉·詹姆斯, 托尼·赫德, 曼德拉·贝拉米, 乔·奥克曼, 卡尔·伦德施泰特, 米克·奥罗克, 大卫·吉布森, 伊万·罗萨多, 安妮·比萨比亚, 布莱斯·科里根, 乔恩·道格拉斯, 雷尼, 艾恩斯利·丹恩, 杰森·约翰, 奇卡莱塞", 美国 / 加拿大
小欢喜,07/31/2019,8.3,"剧情, 家庭",汪俊,"黄磊, 海清, 陶虹, 王砚辉, 沙溢, 咏梅, 周奇, 李庚希, 郭子凡, 刘家祎, 任重, 吴施乐, 徐梵溪, 王栎鑫, 钟丽丽, 金丰, 白玉, 郭广平, 焦体怡, 杨青, 徐敏, 李野萍, 王晴, 杨雨婷, 冯晖, 金溪, 朱铁", 中国大陆
准备好了没 ,08/21/2019,6.7,"悬疑, 惊悚, 恐怖","马特·贝蒂内利, 奥尔平, 泰勒·吉勒特","萨玛拉·维文, 安迪·麦克道威尔, 马克·奥布莱恩, 亚当·布罗迪, 亨利·科泽尼, 妮基·瓜达尼, 梅兰妮·斯科洛凡诺, 克里斯蒂安·布鲁恩, 伊利斯·莱韦斯克, 约翰·拉尔斯顿, 达妮埃拉·巴博萨, 伊拉娜·盖尔, 安德鲁·安东尼", 加拿大 / 美国
天使陷落 ,12/31/2019,6.1,"动作, 惊悚, 犯罪","里克·罗曼, 沃夫","杰拉德·巴特勒, 费雷德里克·施密特, 丹尼·赫斯顿, 罗奇·威廉姆斯, 派珀·佩拉博, 兰斯·莱迪克, 奥利·普费弗, 摩根·弗里曼, 贾丝明·海德, 伊恩·波特, 迈克尔·兰德斯, 马克·阿诺德, 凯瑞·莎勒, 蒂姆·布雷克, 尼尔森, 斯图尔特·麦克奎里, 贾达·萍克, 史密斯, 约瑟夫·米尔森, 萨皮尔·阿苏拉, 布菲·戴维斯, 马克·史密斯, 马丁·贝尔曼, 格雷格·奥维斯, 克里斯·勃朗宁, 布伦丹·凯利, 海莉·毕晓普, 尼克·诺特, 安东尼奥·巴斯托夫, 乔治娅·古德曼, 米迦勒·博迪, 阿塔纳斯·斯雷布雷夫, 内森·库珀, 索菲娅·德尔, 皮佐, 保罗·布莱克维尔, 泰·赫尔利, 乔蕾·科斯, 布莱恩·拉金, 凯文·马塔迪恩, 劳拉·马塔沙, 贾格·帕特尔, 弗拉基米尔·普京, 黛博拉·洛克, 伯纳多·桑托斯, 阿图尔·夏尔马", 美国
好莱坞往事 ,05/21/2019,7.3,"剧情, 喜剧",昆汀·塔伦蒂诺,"莱昂纳多·迪卡普里奥, 布拉德·皮特, 玛格特·罗比, 埃米尔·赫斯基, 玛格丽特·库里, 蒂莫西·奥利芬特, 茱莉亚·巴特斯, 奥斯汀·巴特勒, 达科塔·范宁, 布鲁斯·邓恩, 麦克·莫, 卢克·贝里, 戴米恩·路易斯, 库尔特·拉塞尔, 阿尔·帕西诺, 玛雅·霍克, 西德妮·斯威尼, 哈莉·奎恩, 史密斯, 达蒙·海瑞曼, 凯特·贝兰特, 洛伦扎·伊佐, 迈克尔·马德森, 拉莫·威利斯, 斯科特·麦克纳里, 小克利夫顿·克林斯, 维多利亚·佩德雷蒂, 吕蓓卡·盖哈特, 佐伊·贝尔, 莱斯利·贝加, 瑞贝卡·瑞滕豪斯, 萨曼莎·罗宾森, 莉娜·邓纳姆, 德瑞玛·沃克, 克鲁·古拉格, 丹妮拉·皮克, 布伦达·瓦卡罗, 尼古拉斯·哈蒙德, 米奇·麦迪森, 詹姆斯·兰德里, 赫伯特, 妮可·加利西亚, 麦迪逊·贝蒂, 佩内洛普·卡普迪雅, 莫里斯·孔特, 科斯塔·罗宁, 卢·坦普尔, 斯宾塞·加雷特, 布丽安娜·乔伊, 乔默, 奥玛·杜姆, 娜塔莉·科恩, 拉法尔·扎维鲁查, 马尔科·罗德里格斯, 堪萨丝·宝琳, 维森特·拉雷斯卡, 殷巴尔·阿米拉夫, 拉蒙·弗兰克, 莫妮卡·斯塔吉丝, 克雷格·斯塔克, 大卫·斯廷, 朱丽叶·吉达, 埃迪·佩雷斯, 布蕾迪·拉多娜, 凯拉·拉多姆斯基, 布里安娜·温, 卡萝莱娜·瓦加斯, 加里·派怀特", 美国 / 英国 / 中国大陆
上海堡垒,08/09/2019,2.9,"爱情, 科幻, 战争",滕华涛,"鹿晗, 舒淇, 石凉, 高以翔, 王宫良, 王森, 孙嘉灵", 中国大陆
死寂逃亡 ,08/30/2019,5.3,恐怖,"约翰·, 莱昂耐迪","斯坦利·图齐, 琪兰·席普卡, 米兰达·奥图, 凯特·特罗特, 约翰·考伯特, 凯尔·布瑞特科夫, 邓普斯·布瑞克, 比利·麦克莱伦, 萨拉·阿伯特, 泰勒·拉芙", 德国 / 美国
黑袍纠察队 第一季 ,07/26/2019,8.6,"动作, 科幻, 犯罪","菲利浦·斯格里西亚, 丹尼尔·艾提奥斯, 艾力克·克莱普科, 詹妮弗·彭, 斯特凡·施瓦茨, 马特·沙克曼, 弗雷德·托耶, 丹·特拉亨伯格","卡尔·厄本, 艾琳·莫里亚蒂, 杰克·奎德, 安东尼·斯塔尔, 多米妮克·麦克艾丽戈特, 杰西·厄舍, 切斯·克劳福, 托默·卡蓬, 凯伦·福原, 内森·米切尔, 伊丽莎白·苏, 拉兹·阿隆索, 詹妮弗·艾斯波西多, 西蒙·佩吉, 肖恩·本森, 安·库萨克, 克里斯蒂安·凯耶斯, 杰丝·萨尔盖罗, 妮卡·埃利奥特, 阿历克斯·哈赛尔, 米什卡·特博, 乔丹娜·拉茹瓦, 马尔科姆·巴雷特, 布列塔尼·艾伦, 吉安卡罗·埃斯波西托, 尼古拉·科雷亚, 达姆得, 斯科特·汤普森, 贝克, 珊特尔·范圣滕, 大卫·安德鲁, 大卫·瑞勒, 布雷丹·贝塞尔, 约翰·道曼, 海利·乔, 奥斯蒙, 莱拉·罗宾斯, 比利·赞恩, 贾登·马丁, 保利诺·努内斯, 克里斯塔·巴科, 德什伊·帕达亚奇", 美国
烈火英雄,08/01/2019,6.5,"剧情, 灾难",陈国辉,"黄晓明, 杜江, 谭卓, 杨紫, 欧豪, 侯勇, 张哲瀚, 谷嘉诚, 印小天, 高戈, 许文广, 刘金山, 丁嘉丽", 中国大陆
速度与激情,08/23/2019,6.3,"动作, 犯罪",大卫·雷奇,"道恩·强森, 杰森·斯坦森, 伊德里斯·艾尔巴, 凡妮莎·柯比, 艾莎·冈萨雷斯, 海伦·米伦, 瑞恩·雷诺兹, 凯文·哈特, 埃迪·马森, 罗曼·雷恩斯, 斯蒂芬妮·沃格特, 维克托里娅·菲斯, 康兰·卡萨尔, 海伦娜·福尔摩斯, 伯纳多·桑托斯, 露丝·霍洛克斯, 大卫·穆梅尼, 马诺伊·阿南德, 阿玛尔·阿达蒂亚, 朱利安·费罗, 丹尼尔·厄根, 拉普洛斯·卡伦福佐斯, 阿克塞尔·努, 史蒂夫·莱温顿, 安东尼奥·曼奇诺, 斯特拉·斯托克尔, 克利夫·柯蒂斯", 美国 / 日本
哪吒之魔童降世,07/26/2019,8.4,"剧情, 喜剧, 动画, 奇幻",饺子,"吕艳婷, 囧森瑟夫, 瀚墨, 陈浩, 绿绮, 张珈铭, 杨卫", 中国大陆
